evaluation,label
太棒了！这次的购物体验太棒了！鞋子的质量很好，穿着也非常舒适，款式也很时尚。强烈推荐给大家！👍👌非常满意的购物体验😏
大小刚好合适，发货速度也很快，服务态度很积极，穿起来特舒服，透气不闷脚，价格还划算，喜欢的赶紧下手吧
以前一直都是在实体店买，这次选择了网上买，不光是正品，价格还实惠！品质也不错，性价比比较高的商品，喜欢的亲可以直接下手不要犹豫，太给力了！
.鞋子收到了，真的很哇塞唉，上脚试穿了下很舒服，大小刚好合适，鞋子很百搭，任何衣服都可以搭配哎，太喜欢了
试了下，穿起来很舒服！做工不够精细。
大牌子，值得信赖，送货及时。
上脚感觉还不错，时尚百搭
"样子很好就是偏小懒得换，送给合适人穿了，再买一双。
外观颜值：高
尺码大小：偏小"
喜欢你们家的鞋子，合适的呢哎，太好看了咳，物有所值的，穿上鞋子都说好，做工挺优秀的。
商品和图片一样，质量看着还行，就是穿着不舒服，
很喜欢赞嘿，总之很喜欢。新款会继续关注的物流速度也好快的呢呼，真没想到网上购物还这么有意思
很好，物流很快，东西很给力，性价比很高！
很喜欢的小白鞋，尺码标准
质量不错呢，发货速度快，很喜欢
第一次洗就变成这样了   有一只鞋越洗越黑  不知道怎么回事
退换过后，尺码还是不标准，和上次的尺码差不多。我以前的鞋子尺码都在39码至40码之间。你们这鞋子都41码了，穿起来还是很夹脚。哎，只有将就穿了。
鞋子不行，出脚汗严重，我穿其他鞋子就不出汗，客服态度不好，差评！！！
鞋码小了，可以换吗？
这鞋质量真的很差 很后悔的一次购物 穿两天直接扔掉
大家看看这家店鞋子的质量真的太差了，鞋底开这么长的胶还拿出来卖，难道卖家都不用检查鞋子吗？是不是坑一个算一个呀，
鞋底比较硬，打开盒子味道比较重，刺鼻，不像两百多鞋子的品质，不需要对比安踏，李宁，这种品质还不如我几十块钱的回力。不会再次购买
质量超差，就像街边买的20块钱一对的鞋，假货
包装简陋，鞋底硬硬的
不错，和图片一样
外观颜值：好看
可以
这是在京东买的最垃圾的一个
千万不要买，谁买谁后悔。
就是鞋底太薄了
千万不要买，骗人的，。
欺骗商家，服了，能这样欺骗的！
不值这个价
差劲
第一次洗就变成这样了   有一只鞋越洗越黑  不知道怎么回事
这是在京东买的最垃圾的一个
外观颜值：好看
退换过后，尺码还是不标准，和上次的尺码差不多。我以前的鞋子尺码都在39码至40码之间。你们这鞋子都41码了，穿起来还是很夹脚。哎，只有将就穿了。
鞋码小了，可以换吗？
大家看看这家店鞋子的质量真的太差了，鞋底开这么长的胶还拿出来卖，难道卖家都不用检查鞋子吗？是不是坑一个算一个呀，
该用户觉得商品不错
很好，物流很快，东西很给力，性价比很高！
质量不错呢，发货速度快，很喜欢
挺好的，做工也很大，我也没有穿上码数标准，穿着非常舒适。
第一次洗就变成这样了   有一只鞋越洗越黑  不知道怎么回事
这鞋质量真的很差 很后悔的一次购物 穿两天直接扔掉
大家看看这家店鞋子的质量真的太差了，鞋底开这么长的胶还拿出来卖，难道卖家都不用检查鞋子吗？是不是坑一个算一个呀，
这是在京东买的最垃圾的一个
千万不要买，谁买谁后悔。
千万不要买，骗人的，。
欺骗商家，服了，能这样欺骗的！
差劲
第一次洗就变成这样了   有一只鞋越洗越黑  不知道怎么回事
这是在京东买的最垃圾的一个
大家看看这家店鞋子的质量真的太差了，鞋底开这么长的胶还拿出来卖，难道卖家都不用检查鞋子吗？是不是坑一个算一个呀，
欺骗商家，服了，能这样欺骗的！
退换过后，尺码还是不标准，和上次的尺码差不多。我以前的鞋子尺码都在39码至40码之间。你们这鞋子都41码了，穿起来还是很夹脚。哎，只有将就穿了。
鞋底比较硬，打开盒子味道比较重，刺鼻，不像两百多鞋子的品质，不需要对比安踏，李宁，这种品质还不如我几十块钱的回力。不会再次购买
包装简陋，鞋底硬硬的
就是鞋底太薄了
不值这个价
太棒了！这次的购物体验太棒了！鞋子的质量很好，穿着也非常舒适，款式也很时尚。强烈推荐给大家！👍👌非常满意的购物体验😏
大小刚好合适，发货速度也很快，服务态度很积极，穿起来特舒服，透气不闷脚，价格还划算，喜欢的赶紧下手吧
以前一直都是在实体店买，这次选择了网上买，不光是正品，价格还实惠！品质也不错，性价比比较高的商品，喜欢的亲可以直接下手不要犹豫，太给力了！
.鞋子收到了，真的很哇塞唉，上脚试穿了下很舒服，大小刚好合适，鞋子很百搭，任何衣服都可以搭配哎，太喜欢了
试了下，穿起来很舒服！做工不够精细。
大牌子，值得信赖，送货及时。
上脚感觉还不错，时尚百搭
"样子很好就是偏小懒得换，送给合适人穿了，再买一双。
外观颜值：高
尺码大小：偏小"
喜欢你们家的鞋子，合适的呢哎，太好看了咳，物有所值的，穿上鞋子都说好，做工挺优秀的。
质量超差，就像街边买的20块钱一对的鞋，假货
商品和图片一样，质量看着还行，就是穿着不舒服，
很喜欢赞嘿，总之很喜欢。新款会继续关注的物流速度也好快的呢呼，真没想到网上购物还这么有意思
很好，物流很快，东西很给力，性价比很高！
很喜欢的小白鞋，尺码标准
质量不错呢，发货速度快，很喜欢
鞋子不行，出脚汗严重，我穿其他鞋子就不出汗，客服态度不好，差评！！！
鞋码小了，可以换吗？
质量超差，就像街边买的20块钱一对的鞋，假货
不错，和图片一样
外观颜值：好看
可以
很喜欢的小白鞋，尺码标准
该用户觉得商品不错
很好，物流很快，东西很给力，性价比很高！
质量不错呢，发货速度快，很喜欢
挺好的，做工也很大，我也没有穿上码数标准，穿着非常舒适。
试了下，穿起来很舒服！做工不够精细。
太棒了！这次的购物体验太棒了！鞋子的质量很好，穿着也非常舒适，款式也很时尚。强烈推荐给大家！👍👌非常满意的购物体验😏
差劲
上脚感觉还不错，时尚百搭
以前一直都是在实体店买，这次选择了网上买，不光是正品，价格还实惠！品质也不错，性价比比较高的商品，喜欢的亲可以直接下手不要犹豫，太给力了！
大小刚好合适，发货速度也很快，服务态度很积极，穿起来特舒服，透气不闷脚，价格还划算，喜欢的赶紧下手吧
鞋子不行，出脚汗严重，我穿其他鞋子就不出汗，客服态度不好，差评！！！
大牌子，值得信赖，送货及时。
这鞋质量真的很差 很后悔的一次购物 穿两天直接扔掉
第一次洗就变成这样了   有一只鞋越洗越黑  不知道怎么回事
这是在京东买的最垃圾的一个
退换过后，尺码还是不标准，和上次的尺码差不多。我以前的鞋子尺码都在39码至40码之间。你们这鞋子都41码了，穿起来还是很夹脚。哎，只有将就穿了。
鞋码小了，可以换吗？
大家看看这家店鞋子的质量真的太差了，鞋底开这么长的胶还拿出来卖，难道卖家都不用检查鞋子吗？是不是坑一个算一个呀，
鞋码小了，可以换吗？
欺骗商家，服了，能这样欺骗的！
太棒了！这次的购物体验太棒了！鞋子的质量很好，穿着也非常舒适，款式也很时尚。强烈推荐给大家！👍👌非常满意的购物体验😏
大小刚好合适，发货速度也很快，服务态度很积极，穿起来特舒服，透气不闷脚，价格还划算，喜欢的赶紧下手吧
以前一直都是在实体店买，这次选择了网上买，不光是正品，价格还实惠！品质也不错，性价比比较高的商品，喜欢的亲可以直接下手不要犹豫，太给力了！
.鞋子收到了，真的很哇塞唉，上脚试穿了下很舒服，大小刚好合适，鞋子很百搭，任何衣服都可以搭配哎，太喜欢了
试了下，穿起来很舒服！做工不够精细。
大牌子，值得信赖，送货及时。
上脚感觉还不错，时尚百搭
"样子很好就是偏小懒得换，送给合适人穿了，再买一双。
外观颜值：高
尺码大小：偏小"
喜欢你们家的鞋子，合适的呢哎，太好看了咳，物有所值的，穿上鞋子都说好，做工挺优秀的。
商品和图片一样，质量看着还行，就是穿着不舒服，
很喜欢赞嘿，总之很喜欢。新款会继续关注的物流速度也好快的呢呼，真没想到网上购物还这么有意思
很好，物流很快，东西很给力，性价比很高！
很喜欢的小白鞋，尺码标准
质量不错呢，发货速度快，很喜欢
第一次洗就变成这样了   有一只鞋越洗越黑  不知道怎么回事
退换过后，尺码还是不标准，和上次的尺码差不多。我以前的鞋子尺码都在39码至40码之间。你们这鞋子都41码了，穿起来还是很夹脚。哎，只有将就穿了。
鞋子不行，出脚汗严重，我穿其他鞋子就不出汗，客服态度不好，差评！！！
鞋码小了，可以换吗？
这鞋质量真的很差 很后悔的一次购物 穿两天直接扔掉
大家看看这家店鞋子的质量真的太差了，鞋底开这么长的胶还拿出来卖，难道卖家都不用检查鞋子吗？是不是坑一个算一个呀，
鞋底比较硬，打开盒子味道比较重，刺鼻，不像两百多鞋子的品质，不需要对比安踏，李宁，这种品质还不如我几十块钱的回力。不会再次购买
质量超差，就像街边买的20块钱一对的鞋，假货
包装简陋，鞋底硬硬的
不错，和图片一样
外观颜值：好看
可以
这是在京东买的最垃圾的一个
千万不要买，谁买谁后悔。
就是鞋底太薄了
千万不要买，骗人的，。
欺骗商家，服了，能这样欺骗的！
不值这个价
差劲
第一次洗就变成这样了   有一只鞋越洗越黑  不知道怎么回事
这是在京东买的最垃圾的一个
外观颜值：好看
退换过后，尺码还是不标准，和上次的尺码差不多。我以前的鞋子尺码都在39码至40码之间。你们这鞋子都41码了，穿起来还是很夹脚。哎，只有将就穿了。
鞋码小了，可以换吗？
大家看看这家店鞋子的质量真的太差了，鞋底开这么长的胶还拿出来卖，难道卖家都不用检查鞋子吗？是不是坑一个算一个呀，
该用户觉得商品不错
很好，物流很快，东西很给力，性价比很高！
质量不错呢，发货速度快，很喜欢
挺好的，做工也很大，我也没有穿上码数标准，穿着非常舒适。
第一次洗就变成这样了   有一只鞋越洗越黑  不知道怎么回事
这鞋质量真的很差 很后悔的一次购物 穿两天直接扔掉
大家看看这家店鞋子的质量真的太差了，鞋底开这么长的胶还拿出来卖，难道卖家都不用检查鞋子吗？是不是坑一个算一个呀，
这是在京东买的最垃圾的一个
千万不要买，谁买谁后悔。
千万不要买，骗人的，。
欺骗商家，服了，能这样欺骗的！
差劲
第一次洗就变成这样了   有一只鞋越洗越黑  不知道怎么回事
这是在京东买的最垃圾的一个
大家看看这家店鞋子的质量真的太差了，鞋底开这么长的胶还拿出来卖，难道卖家都不用检查鞋子吗？是不是坑一个算一个呀，
欺骗商家，服了，能这样欺骗的！
退换过后，尺码还是不标准，和上次的尺码差不多。我以前的鞋子尺码都在39码至40码之间。你们这鞋子都41码了，穿起来还是很夹脚。哎，只有将就穿了。
鞋底比较硬，打开盒子味道比较重，刺鼻，不像两百多鞋子的品质，不需要对比安踏，李宁，这种品质还不如我几十块钱的回力。不会再次购买
包装简陋，鞋底硬硬的
就是鞋底太薄了
不值这个价
太棒了！这次的购物体验太棒了！鞋子的质量很好，穿着也非常舒适，款式也很时尚。强烈推荐给大家！👍👌非常满意的购物体验😏
大小刚好合适，发货速度也很快，服务态度很积极，穿起来特舒服，透气不闷脚，价格还划算，喜欢的赶紧下手吧
以前一直都是在实体店买，这次选择了网上买，不光是正品，价格还实惠！品质也不错，性价比比较高的商品，喜欢的亲可以直接下手不要犹豫，太给力了！
.鞋子收到了，真的很哇塞唉，上脚试穿了下很舒服，大小刚好合适，鞋子很百搭，任何衣服都可以搭配哎，太喜欢了
试了下，穿起来很舒服！做工不够精细。
大牌子，值得信赖，送货及时。
上脚感觉还不错，时尚百搭
"样子很好就是偏小懒得换，送给合适人穿了，再买一双。
外观颜值：高
尺码大小：偏小"
喜欢你们家的鞋子，合适的呢哎，太好看了咳，物有所值的，穿上鞋子都说好，做工挺优秀的。
质量超差，就像街边买的20块钱一对的鞋，假货
商品和图片一样，质量看着还行，就是穿着不舒服，
很喜欢赞嘿，总之很喜欢。新款会继续关注的物流速度也好快的呢呼，真没想到网上购物还这么有意思
很好，物流很快，东西很给力，性价比很高！
很喜欢的小白鞋，尺码标准
质量不错呢，发货速度快，很喜欢
鞋子不行，出脚汗严重，我穿其他鞋子就不出汗，客服态度不好，差评！！！
鞋码小了，可以换吗？
质量超差，就像街边买的20块钱一对的鞋，假货
不错，和图片一样
外观颜值：好看
可以
很喜欢的小白鞋，尺码标准
该用户觉得商品不错
很好，物流很快，东西很给力，性价比很高！
质量不错呢，发货速度快，很喜欢
挺好的，做工也很大，我也没有穿上码数标准，穿着非常舒适。
试了下，穿起来很舒服！做工不够精细。
太棒了！这次的购物体验太棒了！鞋子的质量很好，穿着也非常舒适，款式也很时尚。强烈推荐给大家！👍👌非常满意的购物体验😏
差劲
上脚感觉还不错，时尚百搭
以前一直都是在实体店买，这次选择了网上买，不光是正品，价格还实惠！品质也不错，性价比比较高的商品，喜欢的亲可以直接下手不要犹豫，太给力了！
大小刚好合适，发货速度也很快，服务态度很积极，穿起来特舒服，透气不闷脚，价格还划算，喜欢的赶紧下手吧
鞋子不行，出脚汗严重，我穿其他鞋子就不出汗，客服态度不好，差评！！！
大牌子，值得信赖，送货及时。
这鞋质量真的很差 很后悔的一次购物 穿两天直接扔掉
第一次洗就变成这样了   有一只鞋越洗越黑  不知道怎么回事
这是在京东买的最垃圾的一个
退换过后，尺码还是不标准，和上次的尺码差不多。我以前的鞋子尺码都在39码至40码之间。你们这鞋子都41码了，穿起来还是很夹脚。哎，只有将就穿了。
鞋码小了，可以换吗？
大家看看这家店鞋子的质量真的太差了，鞋底开这么长的胶还拿出来卖，难道卖家都不用检查鞋子吗？是不是坑一个算一个呀，
鞋码小了，可以换吗？
欺骗商家，服了，能这样欺骗的！
